advertising,item_1,item_2,item_3,item_4
75.17241379310344,28.03864946022534,149.25203839179392,80.89180149544585,23.549489310870968
19.310344827586206,-18.970989051696566,28.085149006522023,28.996284798630263,98.04409088261392
10,-66.07659745236826,18.93437693530639,45.44641078977419,122.21315326476412
41.03448275862069,-10.356160028570423,70.9245623052141,56.44907261403184,57.9244509987076
78.27586206896552,32.9913101919968,168.09423746664112,64.096141300313107,30.84285397414621
72.06896551724138,41.92099778327989,150.45567715243934,28.978839789212387,54.45328181590085
93.79310344827586,16.624322146969646,175.49966181367787,27.720782979159946,36.97736173611324
59.6551724137931,-4.876501114609853,121.05387452010704,85.54308307044695,62.139983906423154
68.9655172413793,71.3023739066284,152.00166132611517,42.38600498065075,15.077278771743483
90.6896551724138,28.186673560719274,180.06629638072698,52.62915382275642,12.07489082513157
84.48275862068965,33.93525560809582,182.44952506109635,22.659013685545577,9.270548891978748
34.827586206896555,10.820892948958656,80.45281126223385,24.40921962830032,75.68884413346022
22.413793103448278,32.19636201931825,39.47725422545381,20.112603067523512,84.90823849696773
65.86206896551724,0.1802054638232775,122.10431008224927,75.69587572057875,30.26694104349643
31.724137931034484,-7.922384640089609,61.141028382129676,50.398942835205425,77.90775900301867
81.37931034482759,42.09449799089052,182.57766484537785,52.849709352529345,45.69062500085836
56.55172413793103,31.802571251226333,103.09663334632916,96.9420758146088,57.06988060688238
28.620689655172413,4.524505011422859,70.8606711663414,48.693336891247974,91.5296175002458
53.44827586206897,30.26805249597418,106.81071826347178,34.469243693242575,64.85506322025849
87.58620689655173,11.001918228592201,168.61586906656183,38.266576028245375,18.27158152690029
100,28.97360014965861,192.8852507489919,41.67467529473789,28.05307663437579
16.20689655172414,10.623298345879443,19.028051444536764,61.49406705405503,126.25383264978518
44.13793103448276,-13.98472091378532,84.56994552901365,44.40474401326449,83.62530449335114
96.89655172413794,11.484374520773533,191.2688548272288,38.28370965366299,27.125815752185005
47.241379310344826,-19.952766909505737,83.6103617905613,25.105276964232658,75.45062619531434
62.758620689655174,-1.265451581330737,120.52427129980778,60.36258483040619,44.767617868522684
50.3448275862069,21.715203518781113,99.68768789121485,74.23490770896964,59.61332678478147
37.93103448275862,13.372598330314093,75.02253970330322,39.582502245124914,71.15073427976394
13.10344827586207,-17.470084527127057,23.073941165394494,64.43218545788686,105.9802287756793
25.517241379310345,20.024251875076104,44.9256994580397,61.558758308460455,72.25895170403027
